Species_ID,
Akodon_mollis,'Akodon mollis FMNH 81374.JPG'
Akodon_mollis,'Akodon mollis FMNH 81375.JPG'
Akodon_montensis,'Akodon montensis FMNH 18185.JPG'
Akodon_montensis,'Akodon montensis FMNH 26817.JPG'
Akodon_montensis,'Akodon montensis FMNH 26838.JPG'
Akodon_montensis,'Akodon montensis FMNH 26845.JPG'
Akodon_montensis,'Akodon montensis FMNH 26846.JPG'
Akodon_montensis,'Akodon montensis FMNH 26847.JPG'
Akodon_montensis,'Akodon montensis FMNH 47956.JPG'
Akodon_mystax,'Akodon mystax MN 69602.JPG'
Akodon_mystax,'Akodon mystax MN 69605.JPG'
Akodon_mystax,'Akodon mystax MN 69606.JPG'
Akodon_mystax,'Akodon mystax MN 69609.JPG'
Akodon_mystax,'Akodon mystax MN 69613.JPG'
Akodon_mystax,'Akodon mystax MN 69623.JPG'
Akodon_mystax,'Akodon mystax MN 69627.JPG'
Akodon_mystax,'Akodon mystax MN 69628.JPG'
Akodon_mystax,'Akodon mystax MN 69629.JPG'
Akodon_mystax,'Akodon mystax MN 69644.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19721.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19722.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19725.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19726.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19728.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19731.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19732.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19733.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19734.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19738.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19739.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19740.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19741.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19742.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19743.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19744.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19745.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 19754.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 23657.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 24495.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 24498.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 24500.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 24773.JPG'
Akodon_orophilus,'Akodon orophilus FMNH 24774.JPG'
Akodon_paranaensis,'Akodon paranaensis MN 48067.JPG'
