Species_ID;;Clade
Akodon_paranaensis;'Akodon paranaensis MN 48041.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 48067.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 69675.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 69676.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 69677.JPG';Clade B
Akodon_paranaensis;'Akodon paranaensis MN 69679.JPG';Clade B
Akodon_reigi;'Akodon reigi MN 62119.JPG';Clade B
Akodon_reigi;'Akodon reigi MN 62120.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260423.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260424.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260425.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260426.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260427.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260428.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260430.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260431.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260578.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260579.JPG';Clade B
Akodon_siberiae;'Akodon siberiae AMNH 260594.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 29134.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 29137.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30109.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30110.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30112.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30115.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30117.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30119.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30120.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30122.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30123.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30128.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 30132.JPG';Clade B
Akodon_simulator;'Akodon simulator FMNH 35249.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 29122.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 29123.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 30181.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 30182.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 30184.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 30185.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 30189.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii FMNH 34997.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii USNM 259279.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii USNM 259280.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii USNM 259282.JPG';Clade B
Akodon_spegazzinii;'Akodon spegazzinii USNM 259633.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107754.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107772.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107777.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107793.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107794.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107810.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107814.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107817.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 107820.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 75527.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 75531.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 75533.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 75550.JPG';Clade B
Akodon_subfuscus;'Akodon subfuscus FMNH 75551.JPG';Clade B
Akodon_sylvanus;'Akodon sylvanus AMNH 264272.JPG';Clade B
Akodon_sylvanus;'Akodon sylvanus AMNH 264274.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 157165.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 157187.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 157188.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 157195.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 157209.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164136.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164159.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164161.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164168.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164170.JPG';Clade B
Akodon_toba;'Akodon toba FMNH 164173.JPG';Clade B
