generation,N_shifts,logPrior,logLik,eventRate,acceptRate
6440000,0,-2.61757,-103.72,0.460024,0.446875
6460000,1,-7.61611,-105.241,1.35675,0.443833
6480000,0,-2.83017,-103.741,0.460614,0.428812
6500000,0,-2.61262,-104.138,0.520055,0.51375
6520000,0,-4.46953,-108.791,1.67558,0.418
6540000,0,-2.22165,-103.174,0.0548453,0.47315
6560000,0,-3.04825,-104.891,0.628865,0.5055
6580000,1,-7.4657,-97.7554,0.457005,0.43065
6600000,0,-3.26344,-107.855,0.490439,0.435
6620000,0,-2.32294,-106.634,0.0872844,0.4595
6640000,0,-3.22777,-104.503,0.737898,0.462
6660000,0,-3.63453,-103.964,0.580291,0.407833
6680000,0,-2.63036,-104.862,0.519018,0.473
6700000,2,-10.2978,-105.569,1.6918,0.5295
6720000,0,-2.8722,-103.743,0.710035,0.41
6740000,0,-3.10139,-105.869,0.392757,0.398
6760000,1,-5.68875,-101.397,0.567652,0.450385
6780000,0,-3.41676,-107.037,0.410926,0.488714
6800000,0,-3.05659,-104.575,0.915422,0.472318
6820000,1,-6.64272,-103.194,2.07047,0.393
6840000,0,-3.21559,-103.779,1.07769,0.4645
6860000,0,-3.04668,-103.618,0.84771,0.416
6880000,0,-2.74014,-104.688,0.558321,0.5025
6900000,0,-2.72148,-104.62,0.483082,0.4345
6920000,0,-2.88158,-103.904,0.736528,0.438667
6940000,0,-2.40857,-103.219,0.176017,0.484
6960000,0,-2.44699,-106.493,0.227294,0.4715
6980000,1,-5.13655,-105.217,0.148977,0.4385
7000000,0,-2.50763,-104.693,0.296854,0.44225
7020000,0,-3.29553,-105.14,0.539282,0.4878
7040000,0,-2.82581,-106.063,0.195398,0.3975
7060000,0,-2.78372,-103.963,0.566184,0.430375
7080000,0,-3.59045,-105.444,1.24128,0.4802
7100000,0,-2.51418,-104.282,0.171535,0.4475
7120000,0,-5.26332,-108.263,1.50058,0.46625
7140000,0,-2.50123,-104.362,0.292568,0.4505
7160000,1,-6.98541,-104.036,0.850263,0.4785
