generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
2500000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.561493,0.0493611,0.111733,0
2520000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.444946,0.148782,0.132184,0
2520000,Thaptomys_nigrita,NA,4.39453,0.263795,-0.143214,2.00716,0
2540000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.401047,0.240481,0.0380997,0
2560000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.482612,0.0741946,0.187304,0
2580000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.05447,-0.10234,0.0696202,0
2580000,Scapteromys_tumidus,Scapteromys_aquaticus,6.1009,1.8419,0.334229,2.0936,0
2600000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.329934,0.13355,0.0128562,0
2620000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.410331,0.193636,0.0137554,0
2640000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.684573,-0.0437025,0.0790835,0
2660000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.735628,-0.0400346,0.000609341,0
2680000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.356418,0.0524167,0.178391,0
2680000,Akodon_mimus,Akodon_aerosus,3.51268,1.59474,-0.0588843,0.259527,0
2700000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.958814,-0.0961763,0.245465,0
2700000,Akodon_aerosus,Akodon_cursor,3.95229,1.64915,-0.28726,0.031214,0
2720000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.927695,-0.0705544,0.058361,0
2740000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.636546,0.0179751,0.226501,0
2760000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.562516,0.0242057,0.147943,0
2760000,Blarinomys_breviceps,NA,6.40831,0.474496,0.466934,0.075991,0
2780000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.318574,0.230802,0.00341855,0
2800000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.927343,-0.0996062,0.0272256,0
2820000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.860406,-0.0749729,0.0447127,0
2840000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.18795,-0.122015,0.0777479,0
2860000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.699546,-0.0487997,0.00320957,0
2880000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.481154,0.118678,0.00130927,0
2900000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.84904,-0.0419505,0.0181471,0
2920000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.40544,0.092903,0.00269121,0
2940000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.364009,0.153636,0.0358995,0
2960000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.16984,-0.121107,0.0105056,0
2980000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.633871,-0.013805,0.0931497,0
3000000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.706641,-0.0922934,0.0635421,0
3000000,Deltamys_kempi,Akodon_mimus,3.20393,1.13072,-0.00249537,0.24527,0
3020000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.465591,0.0980273,0.0688686,0
3040000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.688929,-0.0402909,0.0111924,0
3060000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.411848,0.0670193,0.0146289,0
3080000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.63649,-0.00201017,0.0809062,0
3100000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.0171,-0.0840221,0.206721,0
3100000,Kunsia_tomentosus,NA,6.09239,1.49033,-0.000781535,0.320802,0
3120000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.12054,-0.089041,0.183873,0
3140000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.392561,0.132195,0.00159366,0
3140000,Thalpomys_lasiotis,NA,6.0742,1.93333,0.0604134,0.313588,0
3140000,Podoxymys_roraimae,NA,5.39899,1.30436,0.200392,1.74622,0
3160000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.379109,0.216535,0.0233206,0
3160000,Kunsia_tomentosus,NA,5.9444,3.67659,-0.184648,2.38822,0
3180000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.603617,0.00470376,0.0483128,0
3200000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.670433,-0.0398584,0.00765842,0
3220000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.603667,-0.0480562,0.141873,0
3220000,Deltamys_kempi,Akodon_mimus,3.3271,1.66236,-0.233701,0.0725972,0
3240000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.725238,-0.0208511,0.0358099,0
3260000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.434455,0.0979619,0.000686234,0
3280000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.326572,0.196806,0.00351281,0
3280000,Akodon_varius,NA,6.56358,3.77209,-0.131136,2.25535,0
3300000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.525781,0.0439573,0.000535091,0
3320000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.395133,0.325941,0.0463787,0
3320000,Oxymycterus_nasutus,NA,6.36507,3.99723,0.314512,8.96793,0
3340000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.556976,0.0293029,0.0143219,0
3340000,Kunsia_tomentosus,NA,6.69691,6.10877,0.281679,2.18996,0
3360000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.438756,0.116351,0.000213545,0
3380000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.01246,-0.137898,0.0455303,0
3400000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.08269,-0.0349149,0.404419,0
3420000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.621484,-0.0211734,0.027187,0
3440000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.622562,-0.0692899,0.0969837,0
3460000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.488574,0.0857271,0.0208937,0
3480000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.716808,-0.0541866,0.0246513,0
3500000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.711963,-0.0601259,0.0202137,0
3520000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.472683,0.0577093,0.00740425,0
3540000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.14425,-0.0908253,0.101049,0
3560000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.24496,-0.138122,0.0856169,0
3580000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.612003,-0.00504335,0.0242642,0
3580000,Castoria_angustidens,NA,4.51501,1.63128,-0.202372,0.210383,0
3600000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.382815,0.276977,0.0762481,0
3620000,Oxymycterus_rufus,Bibimys_chacoensis,0,1.46559,-0.16892,0.0278896,0
3620000,Podoxymys_roraimae,NA,6.04761,1.30163,0.0083428,6.3692,0
3640000,Oxymycterus_rufus,Bibimys_chacoensis,0,0.821679,-0.0447552,0.00512413,0
